ID_Caso;Tipo_Ataque;Pais;Idade_Vitima;Especie_Tubarao
485;Provocado;AUSTRALIA;22.0;Tubarão Tigre
486;Não Provocado;AUSTRALIA;10.0;Tubarão Branco
487;Provocado;SOUTH AFRICA;43.0;Tubarão Tigre
488;Desastre Marítimo;AUSTRALIA;71.0;
489;Desastre Marítimo;SOUTH AFRICA;40.0;Tubarão Branco
490;Provocado;USA;73.0;Tubarão Branco
491;Não Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
492;Não Provocado;USA;47.0;Tubarão Branco
493;Desastre Marítimo;AUSTRALIA;23.0;Tubarão Tigre
494;Provocado;SOUTH AFRICA;17.0;Tubarão Cabeça-Chata
495;Provocado;AUSTRALIA;63.0;
496;Não Provocado;SOUTH AFRICA;11.0;Tubarão Tigre
497;Não Provocado;USA;;
498;Não Provocado;USA;70.0;
499;Provocado;SOUTH AFRICA;;
500;Não Provocado;USA;44.0;Tubarão Branco
501;Não Provocado;AUSTRALIA;;Tubarão Tigre
502;Desastre Marítimo;AUSTRALIA;59.0;Tubarão Tigre
503;Não Provocado;BRAZIL;52.0;Tubarão Branco
504;Não Provocado;USA;26.0;Tubarão Cabeça-Chata
505;Provocado;AUSTRALIA;;
506;Provocado;SOUTH AFRICA;11.0;Tubarão Tigre
507;Desastre Marítimo;USA;13.0;Tubarão Branco
508;Não Provocado;AUSTRALIA;48.0;
509;Desastre Marítimo;USA;15.0;Tubarão Cabeça-Chata
510;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
511;Desastre Marítimo;AUSTRALIA;78.0;
512;Provocado;BRAZIL;29.0;Tubarão Cabeça-Chata
513;Desastre Marítimo;BRAZIL;73.0;Tubarão Tigre
514;Desastre Marítimo;USA;25.0;Tubarão Tigre
515;Não Provocado;SOUTH AFRICA;60.0;Tubarão Tigre
516;Desastre Marítimo;AUSTRALIA;46.0;Tubarão Cabeça-Chata
517;Não Provocado;SOUTH AFRICA;78.0;Tubarão Tigre
518;Não Provocado;AUSTRALIA;51.0;Tubarão Branco
519;Não Provocado;USA;66.0;Tubarão Tigre
520;Não Provocado;AUSTRALIA;75.0;Tubarão Tigre
521;Desastre Marítimo;SOUTH AFRICA;18.0;Tubarão Cabeça-Chata
522;Provocado;SOUTH AFRICA;73.0;Tubarão Tigre
523;Provocado;USA;31.0;
524;Provocado;SOUTH AFRICA;43.0;Tubarão Branco
525;Desastre Marítimo;AUSTRALIA;64.0;Tubarão Cabeça-Chata
526;Não Provocado;USA;;Tubarão Branco
527;Provocado;AUSTRALIA;47.0;
528;Desastre Marítimo;SOUTH AFRICA;;Tubarão Cabeça-Chata
529;Não Provocado;USA;74.0;Tubarão Cabeça-Chata
530;Provocado;AUSTRALIA;10.0;Tubarão Tigre
531;Não Provocado;SOUTH AFRICA;;Tubarão Branco
532;Provocado;SOUTH AFRICA;13.0;
533;Provocado;BRAZIL;36.0;
534;Provocado;SOUTH AFRICA;52.0;Tubarão Cabeça-Chata
535;Não Provocado;AUSTRALIA;;Tubarão Tigre
536;Desastre Marítimo;USA;41.0;Tubarão Cabeça-Chata
537;Não Provocado;BRAZIL;42.0;Tubarão Cabeça-Chata
538;Provocado;SOUTH AFRICA;37.0;Tubarão Cabeça-Chata
539;Não Provocado;SOUTH AFRICA;64.0;Tubarão Cabeça-Chata
540;Desastre Marítimo;SOUTH AFRICA;69.0;
541;Não Provocado;AUSTRALIA;;
542;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
543;Desastre Marítimo;AUSTRALIA;43.0;Tubarão Cabeça-Chata
544;Não Provocado;BRAZIL;65.0;Tubarão Tigre
545;Provocado;USA;22.0;Tubarão Cabeça-Chata
546;Desastre Marítimo;AUSTRALIA;65.0;
547;Não Provocado;AUSTRALIA;27.0;Tubarão Branco
548;Desastre Marítimo;USA;63.0;
549;Provocado;BRAZIL;;Tubarão Tigre
550;Não Provocado;SOUTH AFRICA;48.0;
551;Não Provocado;USA;70.0;Tubarão Branco
552;Não Provocado;SOUTH AFRICA;51.0;Tubarão Cabeça-Chata
553;Provocado;SOUTH AFRICA;27.0;Tubarão Branco
554;Desastre Marítimo;USA;;Tubarão Cabeça-Chata
555;Não Provocado;BRAZIL;63.0;Tubarão Cabeça-Chata
556;Desastre Marítimo;SOUTH AFRICA;39.0;
557;Desastre Marítimo;USA;67.0;
558;Provocado;AUSTRALIA;77.0;
559;Não Provocado;AUSTRALIA;76.0;Tubarão Tigre
560;Desastre Marítimo;AUSTRALIA;27.0;
561;Não Provocado;USA;16.0;Tubarão Tigre
562;Não Provocado;AUSTRALIA;;
563;Provocado;SOUTH AFRICA;79.0;Tubarão Cabeça-Chata
564;Não Provocado;AUSTRALIA;74.0;Tubarão Tigre
565;Não Provocado;AUSTRALIA;77.0;Tubarão Branco
566;Desastre Marítimo;SOUTH AFRICA;58.0;Tubarão Tigre
567;Provocado;AUSTRALIA;61.0;Tubarão Tigre
568;Não Provocado;SOUTH AFRICA;38.0;Tubarão Branco
569;Desastre Marítimo;AUSTRALIA;30.0;Tubarão Tigre
570;Provocado;SOUTH AFRICA;18.0;Tubarão Cabeça-Chata
571;Provocado;AUSTRALIA;56.0;
572;Desastre Marítimo;SOUTH AFRICA;;Tubarão Branco
573;Desastre Marítimo;USA;60.0;
574;Desastre Marítimo;SOUTH AFRICA;65.0;Tubarão Cabeça-Chata
575;Desastre Marítimo;AUSTRALIA;;Tubarão Branco
576;Desastre Marítimo;AUSTRALIA;;
577;Não Provocado;BRAZIL;29.0;
578;Não Provocado;SOUTH AFRICA;36.0;Tubarão Cabeça-Chata
579;Provocado;USA;47.0;
580;Não Provocado;SOUTH AFRICA;74.0;Tubarão Cabeça-Chata
581;Não Provocado;SOUTH AFRICA;63.0;Tubarão Tigre
582;Não Provocado;USA;;Tubarão Cabeça-Chata
583;Desastre Marítimo;SOUTH AFRICA;56.0;Tubarão Tigre
584;Provocado;USA;72.0;Tubarão Branco
585;Provocado;USA;66.0;
586;Provocado;SOUTH AFRICA;64.0;Tubarão Cabeça-Chata
587;Provocado;SOUTH AFRICA;69.0;Tubarão Cabeça-Chata
588;Não Provocado;AUSTRALIA;71.0;
589;Não Provocado;AUSTRALIA;39.0;
590;Desastre Marítimo;BRAZIL;31.0;Tubarão Branco
591;Provocado;BRAZIL;38.0;Tubarão Branco
592;Não Provocado;SOUTH AFRICA;50.0;Tubarão Cabeça-Chata
593;Não Provocado;USA;51.0;Tubarão Branco
594;Desastre Marítimo;BRAZIL;74.0;Tubarão Tigre
595;Desastre Marítimo;SOUTH AFRICA;40.0;Tubarão Branco
596;Desastre Marítimo;BRAZIL;;Tubarão Branco
597;Não Provocado;USA;27.0;Tubarão Cabeça-Chata
598;Não Provocado;SOUTH AFRICA;;Tubarão Tigre
599;Desastre Marítimo;USA;47.0;Tubarão Branco
600;Provocado;SOUTH AFRICA;23.0;Tubarão Tigre
601;Desastre Marítimo;BRAZIL;65.0;Tubarão Tigre
602;Desastre Marítimo;AUSTRALIA;;Tubarão Tigre
603;Desastre Marítimo;BRAZIL;;
604;Desastre Marítimo;BRAZIL;;
605;Não Provocado;AUSTRALIA;28.0;
606;Provocado;AUSTRALIA;;
607;Desastre Marítimo;SOUTH AFRICA;53.0;Tubarão Cabeça-Chata
608;Provocado;SOUTH AFRICA;44.0;Tubarão Branco
609;Provocado;USA;10.0;
610;Provocado;USA;61.0;Tubarão Cabeça-Chata
611;Desastre Marítimo;BRAZIL;79.0;Tubarão Branco
612;Não Provocado;AUSTRALIA;46.0;
613;Desastre Marítimo;USA;74.0;Tubarão Branco
614;Provocado;BRAZIL;60.0;
615;Provocado;AUSTRALIA;10.0;Tubarão Cabeça-Chata
616;Não Provocado;SOUTH AFRICA;;Tubarão Tigre
617;Desastre Marítimo;BRAZIL;62.0;Tubarão Tigre
618;Provocado;SOUTH AFRICA;25.0;Tubarão Branco
619;Não Provocado;USA;70.0;Tubarão Cabeça-Chata
620;Provocado;USA;63.0;Tubarão Tigre
621;Não Provocado;AUSTRALIA;;
622;Não Provocado;BRAZIL;35.0;Tubarão Tigre
623;Desastre Marítimo;SOUTH AFRICA;74.0;Tubarão Branco
624;Provocado;AUSTRALIA;73.0;Tubarão Branco
625;Desastre Marítimo;USA;52.0;Tubarão Cabeça-Chata
626;Provocado;USA;;Tubarão Branco
627;Desastre Marítimo;BRAZIL;68.0;Tubarão Tigre
628;Provocado;SOUTH AFRICA;;Tubarão Tigre
629;Desastre Marítimo;BRAZIL;16.0;Tubarão Tigre
630;Não Provocado;SOUTH AFRICA;53.0;Tubarão Tigre
631;Provocado;SOUTH AFRICA;62.0;Tubarão Cabeça-Chata
632;Provocado;BRAZIL;43.0;
633;Não Provocado;AUSTRALIA;55.0;
634;Desastre Marítimo;BRAZIL;77.0;Tubarão Cabeça-Chata
635;Provocado;BRAZIL;25.0;Tubarão Branco
636;Provocado;USA;28.0;
637;Desastre Marítimo;USA;11.0;Tubarão Branco
638;Não Provocado;BRAZIL;19.0;
639;Desastre Marítimo;BRAZIL;59.0;Tubarão Branco
640;Desastre Marítimo;USA;21.0;Tubarão Cabeça-Chata
641;Desastre Marítimo;SOUTH AFRICA;79.0;Tubarão Tigre
642;Provocado;BRAZIL;31.0;Tubarão Branco
643;Não Provocado;AUSTRALIA;41.0;Tubarão Tigre
644;Não Provocado;AUSTRALIA;10.0;Tubarão Branco
645;Desastre Marítimo;AUSTRALIA;63.0;Tubarão Branco
646;Provocado;BRAZIL;67.0;Tubarão Branco
647;Desastre Marítimo;SOUTH AFRICA;79.0;Tubarão Branco
648;Provocado;SOUTH AFRICA;;Tubarão Branco
649;Provocado;USA;15.0;Tubarão Tigre
650;Provocado;BRAZIL;54.0;Tubarão Branco
651;Provocado;SOUTH AFRICA;32.0;Tubarão Tigre
652;Não Provocado;BRAZIL;32.0;Tubarão Cabeça-Chata
653;Provocado;USA;35.0;
654;Provocado;USA;16.0;Tubarão Branco
655;Desastre Marítimo;USA;;
656;Desastre Marítimo;AUSTRALIA;;Tubarão Tigre
657;Não Provocado;BRAZIL;35.0;Tubarão Cabeça-Chata
658;Desastre Marítimo;USA;45.0;Tubarão Cabeça-Chata
659;Provocado;BRAZIL;;Tubarão Cabeça-Chata
660;Desastre Marítimo;AUSTRALIA;73.0;
661;Não Provocado;AUSTRALIA;66.0;Tubarão Tigre
662;Desastre Marítimo;USA;78.0;Tubarão Branco
663;Desastre Marítimo;USA;70.0;Tubarão Branco
664;Não Provocado;SOUTH AFRICA;;Tubarão Tigre
665;Não Provocado;BRAZIL;;
666;Provocado;USA;47.0;Tubarão Branco
667;Desastre Marítimo;SOUTH AFRICA;38.0;Tubarão Tigre
668;Provocado;BRAZIL;35.0;Tubarão Branco
669;Desastre Marítimo;USA;;Tubarão Cabeça-Chata
670;Desastre Marítimo;SOUTH AFRICA;;Tubarão Branco
671;Provocado;SOUTH AFRICA;38.0;
672;Desastre Marítimo;BRAZIL;43.0;Tubarão Tigre
673;Desastre Marítimo;SOUTH AFRICA;;
674;Desastre Marítimo;BRAZIL;50.0;Tubarão Tigre
675;Não Provocado;BRAZIL;32.0;Tubarão Cabeça-Chata
676;Provocado;BRAZIL;12.0;Tubarão Tigre
677;Não Provocado;AUSTRALIA;;Tubarão Branco
678;Provocado;SOUTH AFRICA;41.0;Tubarão Branco
679;Provocado;BRAZIL;40.0;Tubarão Cabeça-Chata
680;Desastre Marítimo;USA;;Tubarão Tigre
681;Provocado;AUSTRALIA;16.0;Tubarão Cabeça-Chata
682;Não Provocado;AUSTRALIA;10.0;Tubarão Branco
683;Não Provocado;SOUTH AFRICA;;
684;Não Provocado;BRAZIL;23.0;Tubarão Cabeça-Chata
685;Provocado;SOUTH AFRICA;61.0;
686;Não Provocado;AUSTRALIA;15.0;
687;Provocado;BRAZIL;;Tubarão Tigre
688;Não Provocado;USA;39.0;Tubarão Cabeça-Chata
689;Não Provocado;BRAZIL;30.0;
690;Provocado;AUSTRALIA;69.0;
691;Não Provocado;USA;72.0;Tubarão Tigre
692;Desastre Marítimo;BRAZIL;51.0;Tubarão Tigre
693;Provocado;USA;60.0;Tubarão Branco
694;Provocado;USA;73.0;
695;Provocado;AUSTRALIA;;Tubarão Branco
696;Desastre Marítimo;USA;50.0;
697;Provocado;SOUTH AFRICA;41.0;Tubarão Branco
698;Não Provocado;AUSTRALIA;;Tubarão Tigre
699;Não Provocado;SOUTH AFRICA;71.0;Tubarão Cabeça-Chata
700;Não Provocado;USA;36.0;Tubarão Tigre
701;Provocado;SOUTH AFRICA;37.0;Tubarão Branco
702;Não Provocado;BRAZIL;73.0;Tubarão Branco
703;Provocado;USA;68.0;Tubarão Cabeça-Chata
704;Não Provocado;BRAZIL;67.0;
705;Desastre Marítimo;SOUTH AFRICA;11.0;Tubarão Branco
706;Desastre Marítimo;BRAZIL;45.0;Tubarão Branco
707;Desastre Marítimo;USA;22.0;Tubarão Branco
708;Desastre Marítimo;BRAZIL;24.0;Tubarão Cabeça-Chata
709;Provocado;SOUTH AFRICA;69.0;Tubarão Tigre
710;Não Provocado;SOUTH AFRICA;31.0;Tubarão Branco
711;Desastre Marítimo;SOUTH AFRICA;72.0;Tubarão Cabeça-Chata
712;Provocado;USA;34.0;Tubarão Branco
713;Desastre Marítimo;SOUTH AFRICA;57.0;
714;Desastre Marítimo;USA;;Tubarão Cabeça-Chata
715;Provocado;BRAZIL;;Tubarão Branco
716;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
717;Não Provocado;BRAZIL;;Tubarão Branco
718;Não Provocado;AUSTRALIA;49.0;Tubarão Tigre
719;Desastre Marítimo;BRAZIL;26.0;Tubarão Branco
720;Desastre Marítimo;AUSTRALIA;66.0;Tubarão Cabeça-Chata
721;Não Provocado;BRAZIL;11.0;
722;Não Provocado;USA;71.0;
723;Provocado;BRAZIL;18.0;
724;Não Provocado;USA;77.0;Tubarão Branco
725;Não Provocado;USA;26.0;Tubarão Tigre
726;Desastre Marítimo;SOUTH AFRICA;59.0;Tubarão Branco
727;Não Provocado;USA;49.0;
728;Desastre Marítimo;AUSTRALIA;67.0;Tubarão Cabeça-Chata
729;Não Provocado;SOUTH AFRICA;30.0;
730;Provocado;SOUTH AFRICA;27.0;Tubarão Cabeça-Chata
731;Não Provocado;BRAZIL;64.0;Tubarão Tigre
732;Não Provocado;USA;38.0;Tubarão Cabeça-Chata
733;Não Provocado;USA;;Tubarão Branco
734;Desastre Marítimo;AUSTRALIA;26.0;Tubarão Branco
735;Provocado;BRAZIL;27.0;Tubarão Branco
736;Não Provocado;BRAZIL;51.0;Tubarão Cabeça-Chata
737;Desastre Marítimo;SOUTH AFRICA;54.0;Tubarão Branco
738;Provocado;SOUTH AFRICA;;Tubarão Branco
739;Desastre Marítimo;SOUTH AFRICA;23.0;Tubarão Branco
740;Desastre Marítimo;AUSTRALIA;58.0;Tubarão Tigre
741;Provocado;AUSTRALIA;38.0;Tubarão Cabeça-Chata
742;Não Provocado;SOUTH AFRICA;13.0;Tubarão Cabeça-Chata
743;Desastre Marítimo;BRAZIL;29.0;
744;Desastre Marítimo;AUSTRALIA;;Tubarão Cabeça-Chata
745;Não Provocado;BRAZIL;18.0;Tubarão Tigre
746;Não Provocado;BRAZIL;36.0;Tubarão Cabeça-Chata
747;Provocado;USA;;Tubarão Tigre
748;Provocado;SOUTH AFRICA;28.0;Tubarão Tigre
749;Provocado;USA;;Tubarão Cabeça-Chata
750;Não Provocado;SOUTH AFRICA;35.0;
751;Desastre Marítimo;SOUTH AFRICA;;Tubarão Branco
752;Desastre Marítimo;BRAZIL;35.0;Tubarão Branco
753;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
754;Não Provocado;BRAZIL;58.0;Tubarão Cabeça-Chata
755;Desastre Marítimo;BRAZIL;62.0;Tubarão Tigre
756;Provocado;SOUTH AFRICA;12.0;Tubarão Cabeça-Chata
757;Desastre Marítimo;BRAZIL;75.0;Tubarão Tigre
758;Desastre Marítimo;BRAZIL;51.0;
759;Não Provocado;BRAZIL;28.0;Tubarão Cabeça-Chata
760;Não Provocado;AUSTRALIA;26.0;Tubarão Branco
761;Desastre Marítimo;BRAZIL;42.0;Tubarão Branco
762;Provocado;AUSTRALIA;;Tubarão Cabeça-Chata
763;Não Provocado;AUSTRALIA;65.0;Tubarão Tigre
764;Desastre Marítimo;BRAZIL;;Tubarão Branco
765;Não Provocado;BRAZIL;;Tubarão Tigre
766;Não Provocado;AUSTRALIA;58.0;Tubarão Cabeça-Chata
767;Não Provocado;AUSTRALIA;64.0;Tubarão Cabeça-Chata
768;Desastre Marítimo;BRAZIL;35.0;Tubarão Branco
769;Provocado;BRAZIL;61.0;Tubarão Cabeça-Chata
770;Provocado;SOUTH AFRICA;16.0;
771;Provocado;AUSTRALIA;55.0;
772;Não Provocado;AUSTRALIA;55.0;Tubarão Branco
773;Desastre Marítimo;SOUTH AFRICA;;
774;Não Provocado;AUSTRALIA;33.0;Tubarão Tigre
775;Provocado;USA;70.0;Tubarão Branco
776;Provocado;AUSTRALIA;;Tubarão Branco
777;Desastre Marítimo;SOUTH AFRICA;71.0;Tubarão Tigre
778;Não Provocado;USA;10.0;
779;Provocado;BRAZIL;;
780;Desastre Marítimo;SOUTH AFRICA;34.0;
781;Não Provocado;SOUTH AFRICA;19.0;Tubarão Branco
782;Não Provocado;BRAZIL;25.0;Tubarão Branco
783;Provocado;SOUTH AFRICA;;
784;Provocado;AUSTRALIA;38.0;Tubarão Cabeça-Chata
785;Não Provocado;BRAZIL;;
786;Não Provocado;SOUTH AFRICA;25.0;Tubarão Tigre
787;Provocado;BRAZIL;;Tubarão Branco
788;Não Provocado;BRAZIL;52.0;Tubarão Tigre
789;Provocado;BRAZIL;35.0;Tubarão Tigre
790;Não Provocado;USA;42.0;Tubarão Branco
791;Provocado;SOUTH AFRICA;35.0;Tubarão Cabeça-Chata
792;Desastre Marítimo;USA;;
793;Provocado;SOUTH AFRICA;72.0;Tubarão Tigre
794;Provocado;AUSTRALIA;;Tubarão Branco
795;Desastre Marítimo;AUSTRALIA;61.0;Tubarão Tigre
796;Não Provocado;AUSTRALIA;77.0;
797;Desastre Marítimo;SOUTH AFRICA;35.0;Tubarão Cabeça-Chata
798;Provocado;BRAZIL;11.0;Tubarão Cabeça-Chata
799;Não Provocado;BRAZIL;23.0;Tubarão Cabeça-Chata
800;Desastre Marítimo;USA;39.0;Tubarão Branco
